end_schema,end_table,end_field,end_data_type,table_type,unique,source_schema,source_table,source_field,source_data_type
null,movies,movie_id,bigint,delete,TRUE,null,src_movies_metadata,id,bigint
null,movies,title,str,delete,TRUE,null,src_movies_metadata,title,str
null,movies,adult,boolean,delete,TRUE,null,src_movies_metadata,adult,str
null,movies,budget,bigint,delete,TRUE,null,src_movies_metadata,budget,str
null,movies,hompage,str,delete,TRUE,null,src_movies_metadata,homepage,str
null,movies,original_title,str,delete,TRUE,null,src_movies_metadata,original_title,str
null,movies,original_language,str,delete,TRUE,null,src_movies_metadata,original_language,str
null,movies,original_title,str,delete,TRUE,null,src_movies_metadata,original_title,str
null,movies,overview,str,delete,TRUE,null,src_movies_metadata,overview,str
null,movies,popularity,decimal,delete,TRUE,null,src_movies_metadata,popularity,str
null,movies,poster_path,str,delete,TRUE,null,src_movies_metadata,poster_path,str
null,movies,release_date,date,delete,TRUE,null,src_movies_metadata,release_date,str
null,movies,revenue,bigint,delete,TRUE,null,src_movies_metadata,revenue,str
null,movies,runtime,int,delete,TRUE,null,src_movies_metadata,runtime,int
null,movies,tagline,str,delete,TRUE,null,src_movies_metadata,tagline,str
null,movies,video,boolean,delete,TRUE,null,src_movies_metadata,video,str
null,movies,vote_agerage,decimal,delete,TRUE,null,src_movies_metadata,vote_average,str
null,movies,vote_count,bigint,delete,TRUE,null,src_movies_metadata,vote_count,str
null,movies,status,str,delete,TRUE,null,src_movies_metadata,status,str
null,movies,file_id,bigint,delete,FALSE,null,src_movies_metadata,file_id,bigint
null,collections,id,bigint,append,FALSE,null,src_movies_metadata,belongs_to_collection.id,json
null,collections,name,str,append,FALSE,null,src_movies_metadata,belongs_to_collection.name,json
null,collections,poster_path,str,append,FALSE,null,src_movies_metadata,belongs_to_collection.poster_path,json
null,collections,backdrop_path,str,append,FALSE,null,src_movies_metadata,belongs_to_collection.backdrop_path,json
null,collections,first_file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,genres,id,bigint,append,FALSE,null,src_movies_metadata,genre.id,json
null,genres,name,str,append,FALSE,null,src_movies_metadata,genre.name,json
null,genres,first_file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,production_companies,id,bigint,append,FALSE,null,src_movies_metadata,production_companies.id,bigint
null,production_companies,name,str,append,FALSE,null,src_movies_metadata,production_companies.name,str
null,production_companies,first_file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,keywords,id,bigint,append,FALSE,null,src_keywords,keywords.id,json
null,keywords,name,str,append,FALSE,null,src_keywords,keywords.name,json
null,keywords,first_file_id,bigint,append,FALSE,null,src_keywords,file_id,bigint
null,cast_members,id,bigint,append,FALSE,null,src_credits,cast.id,json
null,cast_members,name,str,append,FALSE,null,src_credits,cast.name,json
null,cast_members,gender,int,append,FALSE,null,src_credits,cast.gender,json
null,cast_members,profile_path,str,append,FALSE,null,src_credits,cast.profile_path,json
null,cast_members,first_file_id,bigint,append,FALSE,null,src_credits,file_id,bigint
null,crew_members,id,bigint,append,FALSE,null,src_credits,crew.id,json
null,crew_members,name,str,append,FALSE,null,src_credits,crew.name,json
null,crew_members,gender,int,append,FALSE,null,src_credits,crew.gender,json
null,crew_members,profile_path,str,append,FALSE,null,src_credits,crew.profile_path,json
null,crew_members,first_file_id,bigint,append,FALSE,null,src_credits,file_id,bigint
null,movie_collections,collection_id,bigint,append,FALSE,null,src_movies_metadata,belongs_to_collection.id,json
null,movie_collections,movie_id,bigint,append,FALSE,null,src_movies_metadata,id,bigint
null,movie_collections,file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,movie_genres,genre_id,bigint,append,FALSE,null,src_movies_metadata,genre.id,json
null,movie_genres,movie_id,bigint,append,FALSE,null,src_movies_metadata,id,bigint
null,movie_genres,file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,movie_production_companies,production_company_id,bigint,append,FALSE,null,src_movies_metadata,production_companies.id,json
null,movie_production_companies,movie_id,bigint,append,FALSE,null,src_movies_metadata,id,bigint
null,movie_production_companies,file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,movie_production_countries,production_country_id,bigint,append,FALSE,null,src_movies_metadata,production_countries.id,json
null,movie_production_countries,movie_id,bigint,append,FALSE,null,src_movies_metadata,movie_id,bigint
null,movie_production_countries,file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,movie_spoken_languages,spoken_language_id,bigint,append,FALSE,null,src_movies_metadata,spoken_languages.id,json
null,movie_spoken_languages,movie_id,bigint,append,FALSE,null,src_movies_metadata,id,bigint
null,movie_spoken_languages,file_id,bigint,append,FALSE,null,src_movies_metadata,file_id,bigint
null,movie_keywords,keyword_id,bigint,append,FALSE,null,src_keywords,keywords.id,json
null,movie_keywords,movie_id,bigint,append,FALSE,null,src_keywords,id,bigint
null,movie_keywords,file_id,bigint,append,FALSE,null,src_keywords,file_id,bigint
null,movie_ratings,rater_id,bigint,append,FALSE,null,src_ratings,userId,bigint
null,movie_ratings,movie_id,bigint,append,FALSE,null,src_ratings,movieId,bigint
null,movie_ratings,file_id,bigint,append,FALSE,null,src_ratings,file_id,bigint
null,movie_ratings,rating,decimal,append,FALSE,null,src_ratings,rating,str
null,movie_ratings,rating_timestamp,timestamp,append,FALSE,null,src_ratings,timestamp,str
null,movie_cast_members,cast_member_id,bigint,append,FALSE,null,src_credits,cast.id,json
null,movie_cast_members,movie_id,bigint,append,FALSE,null,src_credits,id,bigint
null,movie_cast_members,file_id,bigint,append,FALSE,null,src_credits,file_id,bigint
null,movie_cast_members,cast_id,bigint,append,FALSE,null,src_credits,cast.cast_id,json
null,movie_cast_members,character,str,append,FALSE,null,src_credits,cast.character,json
null,movie_cast_members,credit_id,str,append,FALSE,null,src_credits,cast.credit_id,json
null,movie_cast_members,credit_order,bigint,append,FALSE,null,src_credits,cast.order,json
null,movie_crew_members,crew_member_id,bigint,append,FALSE,null,src_credits,crew.id,json
null,movie_crew_members,movie_id,bigint,append,FALSE,null,src_credits,id,bigint
null,movie_crew_members,file_id,bigint,append,FALSE,null,src_credits,file_id,bigint
null,movie_crew_members,department,text,append,FALSE,null,src_credits,crew.department,json
null,movie_crew_members,job,text,append,FALSE,null,src_credits,crew.job,json
null,movie_crew_members,credit_id,text,append,FALSE,null,src_credits,crew.credit_id,json
null,movie_links,movie_id,bigint,delete,TRUE,null,src_links,movieId,bigint
null,movie_links,file_id,bigint,delete,FALSE,null,src_links,file_id,bigint
null,movie_links,imdb_id,bigint,delete,TRUE,null,src_links,imdbId,str
null,movie_links,tmdb_id,bigint,delete,TRUE,null,src_links,tmdbId,str
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
