end_schema,end_table,end_field,end_data_type,table_type,source_schema,source_table,source_field,source_data_type
data_files/results,movies,movie_id,bigint,delete,data_files/results,src_movies_metadata,id,bigint
data_files/results,movies,title,str,delete,data_files/results,src_movies_metadata,title,str
data_files/results,movies,adult,boolean,delete,data_files/results,src_movies_metadata,adult,str
data_files/results,movies,budget,bigint,delete,data_files/results,src_movies_metadata,budget,str
data_files/results,movies,hompage,str,delete,data_files/results,src_movies_metadata,homepage,str
data_files/results,movies,original_title,str,delete,data_files/results,src_movies_metadata,original_title,str
data_files/results,movies,original_language,str,delete,data_files/results,src_movies_metadata,original_language,str
data_files/results,movies,original_title,str,delete,data_files/results,src_movies_metadata,original_title,str
data_files/results,movies,overview,str,delete,data_files/results,src_movies_metadata,overview,str
data_files/results,movies,popularity,decimal,delete,data_files/results,src_movies_metadata,popularity,str
data_files/results,movies,poster_path,str,delete,data_files/results,src_movies_metadata,poster_path,str
data_files/results,movies,release_date,date,delete,data_files/results,src_movies_metadata,release_date,str
data_files/results,movies,revenue,bigint,delete,data_files/results,src_movies_metadata,revenue,str
data_files/results,movies,runtime,int,delete,data_files/results,src_movies_metadata,runtime,int
data_files/results,movies,tagline,str,delete,data_files/results,src_movies_metadata,tagline,str
data_files/results,movies,video,boolean,delete,data_files/results,src_movies_metadata,video,str
data_files/results,movies,vote_average,decimal,delete,data_files/results,src_movies_metadata,vote_average,str
data_files/results,movies,vote_count,bigint,delete,data_files/results,src_movies_metadata,vote_count,str
data_files/results,movies,status,str,delete,data_files/results,src_movies_metadata,status,str
data_files/results,movies,file_id,bigint,delete,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,collections,id,bigint,append,data_files/results,src_movies_metadata,belongs_to_collection.id,json
data_files/results,collections,name,str,append,data_files/results,src_movies_metadata,belongs_to_collection.name,json
data_files/results,collections,poster_path,str,append,data_files/results,src_movies_metadata,belongs_to_collection.poster_path,json
data_files/results,collections,backdrop_path,str,append,data_files/results,src_movies_metadata,belongs_to_collection.backdrop_path,json
data_files/results,collections,first_file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,genres,id,bigint,append,data_files/results,src_movies_metadata,genres.id,json
data_files/results,genres,name,str,append,data_files/results,src_movies_metadata,genres.name,json
data_files/results,genres,first_file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,production_companies,id,bigint,append,data_files/results,src_movies_metadata,production_companies.id,bigint
data_files/results,production_companies,name,str,append,data_files/results,src_movies_metadata,production_companies.name,str
data_files/results,production_companies,first_file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,keywords,id,bigint,append,data_files/results,src_keywords,keywords.id,json
data_files/results,keywords,name,str,append,data_files/results,src_keywords,keywords.name,json
data_files/results,keywords,first_file_id,bigint,append,data_files/results,src_keywords,file_id,bigint
data_files/results,cast_members,id,bigint,append,data_files/results,src_credits,cast.id,json
data_files/results,cast_members,name,str,append,data_files/results,src_credits,cast.name,json
data_files/results,cast_members,gender,int,append,data_files/results,src_credits,cast.gender,json
data_files/results,cast_members,profile_path,str,append,data_files/results,src_credits,cast.profile_path,json
data_files/results,cast_members,first_file_id,bigint,append,data_files/results,src_credits,file_id,bigint
data_files/results,crew_members,id,bigint,append,data_files/results,src_credits,crew.id,json
data_files/results,crew_members,name,str,append,data_files/results,src_credits,crew.name,json
data_files/results,crew_members,gender,int,append,data_files/results,src_credits,crew.gender,json
data_files/results,crew_members,profile_path,str,append,data_files/results,src_credits,crew.profile_path,json
data_files/results,crew_members,first_file_id,bigint,append,data_files/results,src_credits,file_id,bigint
data_files/results,movie_collections,collection_id,bigint,append,data_files/results,src_movies_metadata,belongs_to_collection.id,json
data_files/results,movie_collections,movie_id,bigint,append,data_files/results,src_movies_metadata,id,bigint
data_files/results,movie_collections,file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,movie_genres,genre_id,bigint,append,data_files/results,src_movies_metadata,genres.id,json
data_files/results,movie_genres,movie_id,bigint,append,data_files/results,src_movies_metadata,id,bigint
data_files/results,movie_genres,file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,movie_production_companies,production_company_id,bigint,append,data_files/results,src_movies_metadata,production_companies.id,json
data_files/results,movie_production_companies,movie_id,bigint,append,data_files/results,src_movies_metadata,id,bigint
data_files/results,movie_production_companies,file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,movie_production_countries,production_country_id,bigint,append,data_files/results,src_movies_metadata,production_countries.id,json
data_files/results,movie_production_countries,movie_id,bigint,append,data_files/results,src_movies_metadata,movie_id,bigint
data_files/results,movie_production_countries,file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,movie_spoken_languages,spoken_language_id,bigint,append,data_files/results,src_movies_metadata,spoken_languages.id,json
data_files/results,movie_spoken_languages,movie_id,bigint,append,data_files/results,src_movies_metadata,id,bigint
data_files/results,movie_spoken_languages,file_id,bigint,append,data_files/results,src_movies_metadata,file_id,bigint
data_files/results,movie_keywords,keyword_id,bigint,append,data_files/results,src_keywords,keywords.id,json
data_files/results,movie_keywords,movie_id,bigint,append,data_files/results,src_keywords,id,bigint
data_files/results,movie_keywords,file_id,bigint,append,data_files/results,src_keywords,file_id,bigint
data_files/results,movie_ratings,rater_id,bigint,append,data_files/results,src_ratings,userId,bigint
data_files/results,movie_ratings,movie_id,bigint,append,data_files/results,src_ratings,movieId,bigint
data_files/results,movie_ratings,file_id,bigint,append,data_files/results,src_ratings,file_id,bigint
data_files/results,movie_ratings,rating,decimal,append,data_files/results,src_ratings,rating,str
data_files/results,movie_ratings,rating_timestamp,timestamp,append,data_files/results,src_ratings,timestamp,str
data_files/results,movie_cast_members,cast_member_id,bigint,append,data_files/results,src_credits,cast.id,json
data_files/results,movie_cast_members,movie_id,bigint,append,data_files/results,src_credits,id,bigint
data_files/results,movie_cast_members,file_id,bigint,append,data_files/results,src_credits,file_id,bigint
data_files/results,movie_cast_members,cast_id,bigint,append,data_files/results,src_credits,cast.cast_id,json
data_files/results,movie_cast_members,character,str,append,data_files/results,src_credits,cast.character,json
data_files/results,movie_cast_members,credit_id,str,append,data_files/results,src_credits,cast.credit_id,json
data_files/results,movie_cast_members,credit_order,bigint,append,data_files/results,src_credits,cast.order,json
data_files/results,movie_crew_members,crew_member_id,bigint,append,data_files/results,src_credits,crew.id,json
data_files/results,movie_crew_members,movie_id,bigint,append,data_files/results,src_credits,id,bigint
data_files/results,movie_crew_members,file_id,bigint,append,data_files/results,src_credits,file_id,bigint
data_files/results,movie_crew_members,department,text,append,data_files/results,src_credits,crew.department,json
data_files/results,movie_crew_members,job,text,append,data_files/results,src_credits,crew.job,json
data_files/results,movie_crew_members,credit_id,text,append,data_files/results,src_credits,crew.credit_id,json
data_files/results,movie_links,movie_id,bigint,delete,data_files/results,src_links,movieId,bigint
data_files/results,movie_links,file_id,bigint,delete,data_files/results,src_links,file_id,bigint
data_files/results,movie_links,imdb_id,bigint,delete,data_files/results,src_links,imdbId,str
data_files/results,movie_links,tmdb_id,bigint,delete,data_files/results,src_links,tmdbId,str
